make,model,year,mileage_km,engine_cc,fuel_type,transmission,body_type,city,price_pkr
Suzuki,Cultus,2015,139791.0,1000,Petrol,Automatic,Hatchback,Hyderabad,1333000
Suzuki,Margalla,2007,251678.0,1300,Petrol,Manual,Sedan,Rawalpindi,868000
Toyota,LandCruiser,2008,201124.0,3300,Petrol,Automatic,SUV,Peshawar,9120000
Changan,Oshan,2014,167993.0,1500,Diesel,Automatic,SUV,Islamabad,2864000
Suzuki,WagonR,2013,138300.0,1000,Petrol,Automatic,Hatchback,Multan,1143000
Nissan,Dayz,2006,253365.0,660,CNG,Manual,Hatchback,Hyderabad,412000
Toyota,Vitz,2022,62084.0,1000,Petrol,Manual,Hatchback,Lahore,2240000
Toyota,Yaris,2011,169447.0,1300,Petrol,Manual,Sedan,Multan,1312000
Nissan,Note,2004,252708.0,1200,CNG,Automatic,Hatchback,Multan,490000
Toyota,Vitz,2018,142665.0,1000,CNG,Automatic,Hatchback,Islamabad,1427000
Toyota,Vitz,2007,229998.0,1000,Petrol,Automatic,Hatchback,khi,600000
MG,HS,2012,170047.0,1500,Diesel,Manual,SUV,Sialkot,2493000
Honda,BRV,2006,258232.0,1500,Diesel,Automatic,SUV,Sialkot,1145000
Nissan,Note,2023,25554.0,1200,CNG,Manual,Hatchback,Quetta,1520000
Suzuki,Mehran,2005,292228.0,800,Petrol,Manual,Hatchback,Rawalpindi,400000
Kia,Sportage,2009,195162.0,2000,Diesel,Automatic,SUV,Quetta,1835000
Chery,Tiggo8,2005,,1600,Petrol,Automatic,SUV,Islamabad,1415000
Toyota,Yaris,2016,130743.0,1300,CNG,Automatic,Sedan,Quetta,2140000
Honda,Accord,2016,144568.0,2400,CNG,Manual,Sedan,Multan,1247000
Toyota,Corolla,2020,118685.0,1600,Petrol,Automatic,Sedan,Faisalabad,4359000
Suzuki,Vitara,2013,134430.0,1600,Diesel,Automatic,SUV,Peshawar,2251000
Suzuki,WagonR,2015,,1000,CNG,Automatic,Hatchback,Karachi,1359000
Honda,Civic,2015,132518.0,1500,CNG,Manual,Sedan,Karachi,2793000
Toyota,Hilux,2024,72321.0,2800,Petrol,Automatic,Pickup,Lahore,7657000
Toyota,Prado,2020,80783.0,2700,Petrol,Automatic,SUV,Faisalabad,16655000
Suzuki,Ravi,2005,273359.0,800,Diesel,Manual,Pickup,Multan,400000
Kia,Stonic,2017,139085.0,1400,Petrol,Automatic,SUV,Multan,2300000
Hyundai,Santro,2007,296372.0,1000,CNG,Manual,Hatchback,Multan,554000
Honda,Accord,2016,127562.0,2400,CNG,Manual,Sedan,Quetta,1299000
Suzuki,Baleno,2013,158367.0,1300,CNG,Manual,Hatchback,Lahore,855000
Suzuki,Alto,2007,240730.0,660,CNG,Manual,Hatchback,Hyderabad,498000
Daihatsu,Cuore,2013,161480.0,850,CNG,Automatic,Hatchback,Multan,642000
Toyota,Yaris,2018,62223.0,1300,CNG,Manual,Sedan,Multan,2423000
Suzuki,Swift,2006,229633.0,1200,CNG,Automatic,Hatchback,Faisalabad,704000
Suzuki,Mehran,2013,129322.0,800,Petrol,Manual,Hatchback,Peshawar,787000
Honda,City,2015,186590.0,1500,CNG,Automatic,Sedan,Multan,1672000
Suzuki,Cultus,2006,272403.0,1000,CNG,Automatic,Hatchback,Hyderabad,627000
Suzuki,Margalla,2014,130861.0,1300,CNG,Automatic,Sedan,Lahore,1293000
Suzuki,WagonR,2018,127434.0,1000,Petrol,Automatic,Hatchback,Karachi,1411000
Toyota,Corolla,2005,254003.0,1600,Petrol,Automatic,Sedan,Quetta,1024000
Toyota,Prius,2017,93734.0,1800,Hybrid,Automatic,Hybrid,Lahore,2721000
Suzuki,Alto,2015,127495.0,660,CNG,Manual,Hatchback,Sialkot,976000
Nissan,Dayz,2011,218534.0,660,Petrol,Manual,Hatchback,Faisalabad,400000
Kia,Sportage,2010,216206.0,2000,Petrol,Automatic,SUV,Hyderabad,1905000
Hyundai,Elantra,2018,97862.0,1600,Petrol,Automatic,Sedan,Lahore,3463000
Hyundai,Elantra,2024,3000.0,1600,Petrol,Automatic,Sedan,Lahore,7140000
Toyota,Hilux,2008,211227.0,2800,Diesel,Automatic,Pickup,Peshawar,2345000
Hyundai,Tucson,2007,225570.0,2000,Petrol,Automatic,SUV,Hyderabad,1436000
Suzuki,Baleno,2006,243432.0,1300,CNG,Manual,Hatchback,Karachi,460000
Suzuki,Swift,2012,183991.0,1200,Petrol,Manual,Hatchback,Quetta,1174000
Toyota,Passo,2022,35987.0,1000,Petrol,Manual,Hatchback,Islamabad,2157000
Hyundai,Elantra,2019,97119.0,1600,CNG,Automatic,Sedan,Multan,3364000
Suzuki,Vitara,2005,292444.0,1600,Diesel,Manual,SUV,Karachi,949000
Honda,BRV,2023,31049.0,1500,Diesel,Manual,SUV,Multan,6178000
Suzuki,WagonR,2005,296171.0,1000,CNG,Automatic,Hatchback,Islamabad,528000
Toyota,Prius,2022,71923.0,1800,Hybrid,Automatic,Hybrid,Islamabad,3994000
Toyota,Corolla,2010,184447.0,1600,CNG,Manual,Sedan,Quetta,1531000
Toyota,Prado,2014,171528.0,2700,Petrol,Automatic,SUV,Faisalabad,7364000
Honda,Civic,2008,258887.0,1500,CNG,Automatic,Sedan,Peshawar,1594000
Toyota,Fortuner,2006,269763.0,2800,Diesel,Automatic,SUV,Multan,3063000
Honda,City,2022,34646.0,1500,CNG,Automatic,Sedan,Rawalpindi,4510000
Toyota,Aqua,2007,272476.0,1500,Hybrid,Automatic,Hybrid,Karachi,806000
Suzuki,WagonR,2024,30140.0,1000,Petrol,Manual,Hatchback,Rawalpindi,2395000
Toyota,Fortuner,2018,94135.0,2800,Petrol,Automatic,SUV,Lahore,9012000
Suzuki,Liana,2019,117409.0,1300,CNG,Automatic,Sedan,Karachi,1472000
Toyota,Corolla,2013,222231.0,1600,Petrol,Automatic,Sedan,Islamabad,2226000
Suzuki,Liana,2012,134155.0,1300,Petrol,Automatic,Sedan,Multan,1187000
Daihatsu,Cuore,2018,77496.0,850,Petrol,Automatic,Hatchback,Karachi,944000
Honda,Accord,2006,240719.0,2400,CNG,Automatic,Sedan,Faisalabad,521000
Honda,Civic,2011,225322.0,1500,CNG,Automatic,Sedan,Faisalabad,1788000
Daihatsu,Move,2014,169571.0,660,Petrol,Manual,Hatchback,Hyderabad,837000
Toyota,Premio,2008,222824.0,1800,CNG,Manual,Sedan,Sialkot,669000
Toyota,Prius,2004,238855.0,1800,Hybrid,Automatic,Hybrid,Islamabad,886000
Toyota,Corolla,2023,48855.0,1600,Petrol,Automatic,Sedan,Lahore,5383000
Toyota,Fortuner,2021,3000.0,2800,Diesel,Automatic,SUV,Faisalabad,13744000
Honda,HRV,2012,186407.0,1500,Petrol,Automatic,SUV,Faisalabad,2083000
Toyota,Yaris,2014,151757.0,1300,CNG,Automatic,Sedan,Rawalpindi,1631000
Changan,Alsvin,2007,252141.0,1400,CNG,Manual,Sedan,Multan,633000
Kia,Picanto,2019,123398.0,1000,CNG,Manual,Hatchback,Quetta,1698000
Kia,Picanto,2014,199077.0,1000,CNG,Manual,Hatchback,Islamabad,1099000
Proton,X70,2005,229004.0,1500,Diesel,Manual,SUV,Rawalpindi,1091000
Suzuki,Baleno,2024,19498.0,1300,Petrol,Manual,Hatchback,Hyderabad,2461000
Toyota,Prado,2018,105854.0,2700,Diesel,Automatic,SUV,Lahore,12797000
Honda,Accord,2022,34662.0,2400,Petrol,Automatic,Sedan,Faisalabad,2706000
Toyota,Fortuner,2019,100925.0,2800,Petrol,Automatic,SUV,Multan,8804000
Honda,Civic,2024,14858.0,1500,Petrol,Automatic,Sedan,Faisalabad,7753000
Suzuki,Vitara,2013,175177.0,1600,Diesel,Manual,SUV,Faisalabad,1870000
Kia,Sportage,2008,233972.0,2000,Petrol,Automatic,SUV,Quetta,1800000
MG,ZS,2005,295495.0,1500,Petrol,Automatic,SUV,Multan,948000
MG,ZS,2004,307649.0,1500,Diesel,Manual,SUV,Lahore,958000
Daihatsu,Mira,2009,248403.0,660,CNG,Manual,Hatchback,khi,544000
Suzuki,Swift,2006,291048.0,1200,Petrol,Manual,Hatchback,Sialkot,762000
Toyota,LandCruiser,2012,139700.0,3300,Diesel,Automatic,SUV,Sialkot,12853000
Chery,Tiggo4,2020,75667.0,1500,Diesel,Manual,SUV,Quetta,2956000
Suzuki,Bolan,2014,148274.0,800,Petrol,Manual,Van,Quetta,692000
Daihatsu,Mira,2005,,660,Petrol,Manual,Hatchback,Rawalpindi,449000
Hyundai,Sonata,2010,198489.0,2000,CNG,Automatic,Sedan,Sialkot,2083000
Hyundai,Tucson,2010,206466.0,2000,Diesel,Automatic,SUV,Lahore,2144000
Chery,Tiggo8,2010,209249.0,1600,Diesel,Automatic,SUV,Lahore,2087000
Toyota,Prado,2010,171796.0,2700,Petrol,Automatic,SUV,Multan,5824000
Kia,Stonic,2022,71230.0,1400,Petrol,Manual,SUV,Rawalpindi,3612000
Suzuki,Margalla,2017,128811.0,1300,CNG,Automatic,Sedan,Hyderabad,1540000
Suzuki,Bolan,2014,149722.0,800,CNG,Manual,Van,Faisalabad,600000
Kia,Sorento,2016,120664.0,2500,Petrol,Automatic,SUV,Karachi,5094000
Daihatsu,Mira,2006,282394.0,660,Petrol,Manual,Hatchback,Karachi,462000
Kia,Stonic,2022,50403.0,1400,Diesel,Automatic,SUV,Sialkot,4161000
Hyundai,Elantra,2014,139650.0,1600,CNG,Automatic,Sedan,Rawalpindi,2205000
Hyundai,Santro,2023,22062.0,1000,Petrol,Automatic,Hatchback,Peshawar,2816000
Honda,Vezel,2013,149941.0,1500,Hybrid,Automatic,Hybrid,Peshawar,1671000
Toyota,Prius,2007,282772.0,1800,Hybrid,Automatic,Hybrid,Islamabad,1092000
MG,ZS,2008,224889.0,1500,Petrol,Manual,SUV,Lahore,1179000
Proton,Saga,2023,48933.0,1300,CNG,Manual,Sedan,Sialkot,2948000
Toyota,Passo,2014,143401.0,1000,Petrol,Automatic,Hatchback,Sialkot,969000
MG,HS,2010,264816.0,1500,Diesel,Manual,SUV,Islamabad,2151000
Toyota,Prado,2010,202032.0,2700,Petrol,Automatic,SUV,Hyderabad,5797000
Toyota,Fortuner,2010,236249.0,2800,Petrol,Automatic,SUV,Islamabad,3945000
Daihatsu,Cuore,2018,106692.0,850,Petrol,Automatic,Hatchback,Rawalpindi,766000
Chery,Tiggo8,2023,83939.0,1600,Diesel,Automatic,SUV,Karachi,6647000
MG,ZS,2020,61122.0,1500,Petrol,Automatic,SUV,Karachi,4374000
Nissan,Dayz,2020,48396.0,660,CNG,Manual,Hatchback,Sialkot,1572000
Suzuki,Alto,2006,248924.0,660,Petrol,Manual,Hatchback,Sialkot,440000
Honda,Vezel,2016,127725.0,1500,Hybrid,Automatic,Hybrid,Hyderabad,2214000
Toyota,Hilux,2004,279698.0,2800,Petrol,Automatic,Pickup,Rawalpindi,1580000
Nissan,Note,2005,273103.0,1200,Petrol,Manual,Hatchback,Quetta,400000
Honda,Civic,2023,40223.0,1500,CNG,Automatic,Sedan,Multan,6651000
Toyota,Hilux,2022,76027.0,2800,Petrol,Automatic,Pickup,Karachi,7349000
Toyota,Aqua,2019,76365.0,1500,Hybrid,Automatic,Hybrid,Peshawar,2414000
Honda,HRV,2015,207941.0,1500,Diesel,Automatic,SUV,Peshawar,2742000
Suzuki,WagonR,2009,229506.0,1000,CNG,Manual,Hatchback,Karachi,542000
Suzuki,Baleno,2014,184695.0,1300,Petrol,Manual,Hatchback,Quetta,720000
Hyundai,Sonata,2006,239543.0,2000,Petrol,Manual,Sedan,Rawalpindi,1763000
Honda,BRV,2019,80334.0,1500,Diesel,Manual,SUV,Karachi,4512000
Toyota,Hilux,2006,293123.0,2800,Diesel,Automatic,Pickup,Sialkot,2134000
Hyundai,Tucson,2022,71247.0,2000,Petrol,Automatic,SUV,Faisalabad,6657000
Nissan,Note,2014,157603.0,1200,CNG,Automatic,Hatchback,Sialkot,681000
Suzuki,Swift,2009,262107.0,1200,Petrol,Manual,Hatchback,Lahore,943000
Suzuki,WagonR,2016,93826.0,1000,CNG,Automatic,Hatchback,Peshawar,1453000
Suzuki,Cultus,2004,321315.0,1000,Petrol,Manual,Hatchback,Faisalabad,529000
Proton,X70,2007,246104.0,1500,Petrol,Manual,SUV,Quetta,1380000
Suzuki,Cultus,2015,145239.0,1000,Petrol,Automatic,Hatchback,Hyderabad,1168000
Daihatsu,Move,2008,273650.0,660,CNG,Manual,Hatchback,Lahore,636000
Changan,Oshan,2016,145820.0,1500,Diesel,Manual,SUV,Karachi,2790000
MG,HS,2012,183295.0,1500,Petrol,Manual,SUV,Islamabad,2121000
Suzuki,Bolan,2017,112003.0,800,CNG,Manual,Van,Multan,929000
Honda,HRV,2016,151808.0,1500,Petrol,Manual,SUV,Sialkot,2595000
Daihatsu,Mira,2020,61093.0,660,Petrol,Manual,Hatchback,Lahore,1853000
Toyota,Vitz,2016,122784.0,1000,CNG,Manual,Hatchback,Karachi,1287000
Suzuki,Vitara,2007,290183.0,1600,Petrol,Manual,SUV,Faisalabad,1250000
Kia,Sorento,2016,138928.0,2500,Diesel,Automatic,SUV,Hyderabad,4696000
Chery,Tiggo4,2022,20018.0,1500,Diesel,Manual,SUV,Quetta,3598000
Chery,Tiggo8,2008,195945.0,1600,Petrol,Manual,SUV,Islamabad,1644000
Suzuki,Swift,2006,242198.0,1200,CNG,Manual,Hatchback,Islamabad,681000
Honda,Vezel,2021,96040.0,1500,Hybrid,Automatic,Hybrid,Quetta,3307000
Changan,Oshan,2018,88289.0,1500,Diesel,Automatic,SUV,Faisalabad,4444000
Suzuki,Mehran,2023,37560.0,800,Petrol,Manual,Hatchback,Rawalpindi,1810000
Suzuki,WagonR,2017,142623.0,1000,CNG,Automatic,Hatchback,Karachi,1149000
Toyota,Vitz,2019,113595.0,1000,CNG,Automatic,Hatchback,Peshawar,1774000
Chery,Tiggo8,2006,280998.0,1600,Petrol,Manual,SUV,Hyderabad,1360000
Honda,Vezel,2010,187230.0,1500,Hybrid,Automatic,Hybrid,Multan,1326000
Toyota,Aqua,2019,83401.0,1500,Hybrid,Automatic,Hybrid,Quetta,2351000
Toyota,Corolla,2010,169593.0,1600,CNG,Automatic,Sedan,Karachi,1565000
Toyota,Premio,2008,265218.0,1800,CNG,Manual,Sedan,Rawalpindi,760000
Hyundai,Tucson,2019,88256.0,2000,Diesel,Automatic,SUV,Hyderabad,5468000
Suzuki,Baleno,2021,53229.0,1300,Petrol,Manual,Hatchback,Karachi,1713000
Suzuki,Ravi,2018,81755.0,800,Diesel,Manual,Pickup,Lahore,1057000
Honda,Civic,2006,232849.0,1500,CNG,Manual,Sedan,Karachi,1171000
Daihatsu,Move,2024,35086.0,660,CNG,Manual,Hatchback,Quetta,2365000
Toyota,Passo,2018,112157.0,1000,CNG,Manual,Hatchback,Quetta,1385000
Proton,Saga,2023,30193.0,1300,Petrol,Automatic,Sedan,Sialkot,3550000
Daihatsu,Mira,2010,223405.0,660,CNG,Manual,Hatchback,Rawalpindi,531000
MG,ZS,2018,101802.0,1500,Diesel,Automatic,SUV,Multan,2980000
Suzuki,Vitara,2014,171420.0,1600,Diesel,Manual,SUV,Rawalpindi,1928000
Toyota,Premio,2023,3000.0,1800,CNG,Automatic,Sedan,Sialkot,2911000
Toyota,LandCruiser,2005,313612.0,3300,Petrol,Automatic,SUV,Hyderabad,7377000
Suzuki,Alto,2013,165089.0,660,Petrol,Manual,Hatchback,Rawalpindi,704000
Toyota,Aqua,2022,56924.0,1500,Hybrid,Automatic,Hybrid,Peshawar,3164000
Honda,Vezel,2023,52913.0,1500,Hybrid,Automatic,Hybrid,Hyderabad,4789000
Honda,Vezel,2018,151304.0,1500,Hybrid,Automatic,Hybrid,Quetta,2648000
Changan,Oshan,2017,165090.0,1500,Diesel,Manual,SUV,Faisalabad,3175000
Suzuki,Bolan,2017,121218.0,800,CNG,Manual,Van,Peshawar,882000
Chery,Tiggo4,2015,140742.0,1500,Diesel,Automatic,SUV,Quetta,1749000
Toyota,Prado,2008,217910.0,2700,Petrol,Automatic,SUV,Rawalpindi,5231000
Proton,Saga,2010,235266.0,1300,Petrol,Manual,Sedan,Islamabad,674000
Hyundai,Elantra,2010,218255.0,1600,Petrol,Automatic,Sedan,Islamabad,1925000
Chery,Tiggo4,2011,194036.0,1500,Petrol,Manual,SUV,Multan,1171000
Honda,Accord,2022,17822.0,2400,Petrol,Automatic,Sedan,Rawalpindi,2806000
Changan,Alsvin,2017,,1400,CNG,Manual,Sedan,Peshawar,1624000
Kia,Sportage,2010,168338.0,2000,Petrol,Automatic,SUV,Sialkot,2368000
MG,ZS,2010,186078.0,1500,Petrol,Automatic,SUV,Faisalabad,1218000
Toyota,LandCruiser,2024,8403.0,3300,Diesel,Automatic,SUV,Peshawar,42459000
Toyota,Passo,2022,26872.0,1000,CNG,Manual,Hatchback,Lahore,2293000
Nissan,Dayz,2004,301289.0,660,Petrol,Manual,Hatchback,Hyderabad,437000
Toyota,Yaris,2017,105792.0,1300,CNG,Manual,Sedan,Rawalpindi,1990000
Suzuki,Bolan,2006,284873.0,800,Petrol,Manual,Van,Faisalabad,400000
Toyota,Premio,2010,213484.0,1800,CNG,Manual,Sedan,Rawalpindi,706000
Changan,Alsvin,2015,106571.0,1400,CNG,Manual,Sedan,Lahore,1715000
Kia,Stonic,2004,300529.0,1400,Petrol,Manual,SUV,Peshawar,796000
Changan,Alsvin,2009,247974.0,1400,CNG,Automatic,Sedan,Karachi,841000
Toyota,LandCruiser,2011,212826.0,3300,Diesel,Automatic,SUV,Quetta,10677000
Suzuki,Khyber,2008,234199.0,1000,CNG,Automatic,Hatchback,khi,511000
Toyota,Fortuner,2007,226443.0,2800,Petrol,Automatic,SUV,Multan,3281000
Suzuki,Margalla,2024,37800.0,1300,CNG,Automatic,Sedan,Rawalpindi,3202000
Toyota,LandCruiser,2015,84136.0,3300,Diesel,Automatic,SUV,Peshawar,18937000
Toyota,Corolla,2019,65986.0,1600,Petrol,Manual,Sedan,Faisalabad,3865000
Suzuki,Jimny,2006,271185.0,1500,Diesel,Automatic,SUV,Peshawar,1182000
Hyundai,Elantra,2009,251734.0,1600,Petrol,Automatic,Sedan,Islamabad,1386000
Toyota,LandCruiser,2015,172513.0,3300,Petrol,Automatic,SUV,Hyderabad,15533000
Suzuki,Mehran,2022,29734.0,800,CNG,Manual,Hatchback,Sialkot,1362000
Honda,BRV,2018,101649.0,1500,Petrol,Manual,SUV,Lahore,3163000
Changan,Oshan,2004,326910.0,1500,Petrol,Manual,SUV,Peshawar,1091000
Suzuki,Liana,2015,178899.0,1300,Petrol,Automatic,Sedan,Multan,1041000
Daihatsu,Mira,2023,59213.0,660,CNG,Manual,Hatchback,Multan,1918000
Suzuki,Khyber,2023,51029.0,1000,Petrol,Manual,Hatchback,Karachi,1323000
Proton,X70,2024,20403.0,1500,Diesel,Automatic,SUV,Sialkot,7871000
Chery,Tiggo8,2023,79407.0,1600,Petrol,Automatic,SUV,Lahore,6169000
Toyota,Corolla,2008,236556.0,1600,Petrol,Automatic,Sedan,Faisalabad,1218000
Chery,Tiggo8,2009,218960.0,1600,Petrol,Automatic,SUV,Rawalpindi,1849000
Toyota,Hilux,2022,51229.0,2800,Diesel,Automatic,Pickup,Faisalabad,7760000
Suzuki,Swift,2021,71191.0,1200,CNG,Automatic,Hatchback,Hyderabad,2954000
Suzuki,Liana,2007,207823.0,1300,Petrol,Automatic,Sedan,Quetta,543000
Nissan,Dayz,2013,148063.0,660,CNG,Manual,Hatchback,Sialkot,742000
Suzuki,Mehran,2015,121478.0,800,CNG,Manual,Hatchback,Rawalpindi,833000
Toyota,Passo,2019,87118.0,1000,CNG,Manual,Hatchback,Multan,1600000
Toyota,Aqua,2023,26899.0,1500,Hybrid,Automatic,Hybrid,Rawalpindi,4281000
Toyota,Fortuner,2011,164388.0,2800,Diesel,Automatic,SUV,Islamabad,5159000
Toyota,Passo,2013,180294.0,1000,CNG,Automatic,Hatchback,Hyderabad,803000
Suzuki,Alto,2014,126952.0,660,CNG,Manual,Hatchback,Karachi,879000
Toyota,Premio,2008,231375.0,1800,CNG,Automatic,Sedan,Multan,752000
Chery,Tiggo8,2021,88779.0,1600,Diesel,Manual,SUV,Hyderabad,5329000
Changan,Alsvin,2008,215111.0,1400,Petrol,Manual,Sedan,Faisalabad,758000
Nissan,Note,2024,74184.0,1200,CNG,Manual,Hatchback,Karachi,1302000
Suzuki,Vitara,2021,33272.0,1600,Diesel,Manual,SUV,Hyderabad,5014000
Toyota,Yaris,2006,239896.0,1300,Petrol,Automatic,Sedan,Rawalpindi,785000
Suzuki,Mehran,2007,272648.0,800,CNG,Manual,Hatchback,Peshawar,400000
MG,ZS,2011,164962.0,1500,Diesel,Automatic,SUV,Lahore,1694000
Toyota,Passo,2004,289030.0,1000,Petrol,Automatic,Hatchback,Lahore,446000
Honda,HRV,2018,92902.0,1500,Diesel,Automatic,SUV,Sialkot,3833000
Chery,Tiggo8,2019,76892.0,1600,Petrol,Manual,SUV,Quetta,4522000
Toyota,Passo,2004,304958.0,1000,CNG,Manual,Hatchback,Multan,400000
Toyota,Corolla,2012,234437.0,1600,CNG,Automatic,Sedan,Hyderabad,1738000
Kia,Sorento,2017,106164.0,2500,Diesel,Automatic,SUV,Faisalabad,5120000
Kia,Stonic,2019,102280.0,1400,Petrol,Manual,SUV,Sialkot,3163000
Nissan,Note,2011,190905.0,1200,Petrol,Manual,Hatchback,Peshawar,457000
Toyota,Corolla,2024,44192.0,1600,Petrol,Automatic,Sedan,Karachi,6181000
Daihatsu,Mira,2012,206713.0,660,CNG,Manual,Hatchback,Rawalpindi,642000
Nissan,Note,2005,289751.0,1200,CNG,Automatic,Hatchback,Lahore,400000
Honda,HRV,2022,36479.0,1500,Petrol,Automatic,SUV,Lahore,6190000
Toyota,Aqua,2004,263564.0,1500,Hybrid,Automatic,Hybrid,Faisalabad,749000
Suzuki,Alto,2015,214435.0,660,CNG,Manual,Hatchback,Lahore,847000
Hyundai,Santro,2018,109392.0,1000,Petrol,Automatic,Hatchback,Peshawar,1513000
Suzuki,Bolan,2005,259291.0,800,CNG,Manual,Van,Hyderabad,400000
Changan,Alsvin,2016,162674.0,1400,Petrol,Manual,Sedan,Peshawar,1417000
Honda,BRV,2007,247964.0,1500,Petrol,Manual,SUV,Faisalabad,1125000
Toyota,Hilux,2021,76687.0,2800,Petrol,Automatic,Pickup,Faisalabad,7397000
Daihatsu,Cuore,2010,238796.0,850,CNG,Manual,Hatchback,Islamabad,400000
Toyota,Hilux,2023,33933.0,2800,Diesel,Automatic,Pickup,Lahore,8518000
Daihatsu,Mira,2019,75601.0,660,Petrol,Manual,Hatchback,Rawalpindi,1510000
Suzuki,Baleno,2022,79483.0,1300,Petrol,Manual,Hatchback,Rawalpindi,2055000
Toyota,Yaris,2013,140560.0,1300,CNG,Automatic,Sedan,Islamabad,1594000
MG,HS,2013,101649.0,1500,Diesel,Automatic,SUV,Lahore,3378000
Suzuki,WagonR,2016,163118.0,1000,Petrol,Automatic,Hatchback,Peshawar,1368000
Toyota,Premio,2009,233716.0,1800,CNG,Manual,Sedan,Quetta,968000
Proton,Saga,2024,60626.0,1300,Petrol,Manual,Sedan,Peshawar,2883000
Honda,City,2021,42643.0,1500,Petrol,Manual,Sedan,Faisalabad,3239000
Toyota,Hilux,2016,206488.0,2800,Diesel,Automatic,Pickup,Rawalpindi,3688000
Suzuki,Ravi,2005,228456.0,800,Diesel,Manual,Pickup,Lahore,400000
Proton,Saga,2015,144629.0,1300,CNG,Automatic,Sedan,Multan,1311000
Toyota,Fortuner,2016,144681.0,2800,Diesel,Automatic,SUV,Lahore,6681000
Hyundai,Santro,2017,132627.0,1000,CNG,Automatic,Hatchback,Faisalabad,1238000
Suzuki,Mehran,2012,182831.0,800,Petrol,Manual,Hatchback,Islamabad,737000
Hyundai,Tucson,2022,15204.0,2000,Petrol,Automatic,SUV,Lahore,6095000
Proton,Saga,2013,192801.0,1300,CNG,Automatic,Sedan,Sialkot,954000
Daihatsu,Move,2024,3000.0,660,Petrol,Manual,Hatchback,Multan,2894000
Toyota,Aqua,2014,127004.0,1500,Hybrid,Automatic,Hybrid,Karachi,1499000
Toyota,Prado,2013,191865.0,2700,Petrol,Automatic,SUV,Lahore,7156000
Kia,Sportage,2023,22590.0,2000,Diesel,Automatic,SUV,Sialkot,8663000
Proton,X70,2019,134944.0,1500,Diesel,Manual,SUV,Faisalabad,4077000
Suzuki,Baleno,2021,48512.0,1300,CNG,Automatic,Hatchback,Quetta,1953000
Daihatsu,Cuore,2006,269687.0,850,CNG,Manual,Hatchback,Multan,400000
Suzuki,Swift,2014,186615.0,1200,CNG,Manual,Hatchback,Faisalabad,1383000
Honda,Vezel,2019,71355.0,1500,Hybrid,Automatic,Hybrid,Faisalabad,3624000
Suzuki,Alto,2013,199799.0,660,Petrol,Manual,Hatchback,Islamabad,719000
Suzuki,Cultus,2022,81778.0,1000,Petrol,Manual,Hatchback,Lahore,2665000
Suzuki,Alto,2013,199799.0,660,Petrol,Manual,Hatchback,Islamabad,719000
Proton,X70,2015,149296.0,1500,Petrol,Manual,SUV,Quetta,2666000
Suzuki,Swift,2007,254988.0,1200,CNG,Automatic,Hatchback,Faisalabad,842000
Honda,Civic,2022,72469.0,1500,CNG,Automatic,Sedan,Lahore,6426000
Hyundai,Elantra,2011,198421.0,1600,Petrol,Manual,Sedan,Rawalpindi,1702000
Suzuki,Khyber,2008,202608.0,1000,CNG,Automatic,Hatchback,Islamabad,400000
Nissan,Dayz,2019,105776.0,660,Petrol,Manual,Hatchback,Hyderabad,1254000
Suzuki,Baleno,2009,222873.0,1300,Petrol,Automatic,Hatchback,Lahore,604000
Proton,Saga,2022,61401.0,1300,Petrol,Automatic,Sedan,Faisalabad,2228000
Nissan,Note,2013,166375.0,1200,CNG,Manual,Hatchback,Multan,496000
MG,HS,2011,152941.0,1500,Diesel,Manual,SUV,Multan,2545000
Kia,Sportage,2008,227669.0,2000,Petrol,Automatic,SUV,Faisalabad,1600000
Suzuki,Alto,2013,138932.0,660,CNG,Manual,Hatchback,Islamabad,778000
Honda,Accord,2004,302035.0,2400,Petrol,Automatic,Sedan,Lahore,400000
Toyota,Hilux,2011,192433.0,2800,Petrol,Automatic,Pickup,Peshawar,2903000
Nissan,Note,2004,268431.0,1200,CNG,Manual,Hatchback,Islamabad,400000
MG,HS,2023,88050.0,1500,Petrol,Manual,SUV,Peshawar,6097000
Hyundai,Santro,2018,179794.0,1000,CNG,Manual,Hatchback,Lahore,1220000
Honda,Accord,2023,34761.0,2400,CNG,Automatic,Sedan,Multan,2875000
Toyota,Hilux,2011,184638.0,2800,Petrol,Automatic,Pickup,Faisalabad,2680000
Suzuki,Liana,2011,219713.0,1300,CNG,Automatic,Sedan,Islamabad,611000
Suzuki,Liana,2024,3000.0,1300,CNG,Automatic,Sedan,Karachi,2826000
Hyundai,Tucson,2016,125233.0,2000,Diesel,Automatic,SUV,Peshawar,3999000
Toyota,Prius,2024,36974.0,1800,Hybrid,Automatic,Hybrid,Hyderabad,5395000
MG,HS,2012,179116.0,1500,Diesel,Automatic,SUV,Lahore ,2296000
Suzuki,Alto,2006,264472.0,660,Petrol,Manual,Hatchback,Quetta,440000
Kia,Stonic,2017,142043.0,1400,Diesel,Manual,SUV,Karachi,2042000
Hyundai,Tucson,2010,227182.0,2000,Petrol,Automatic,SUV,Faisalabad,1871000
Honda,Accord,2014,142961.0,2400,CNG,Manual,Sedan,Faisalabad,1424000
Suzuki,WagonR,2005,262968.0,1000,CNG,Automatic,Hatchback,Peshawar,566000
Suzuki,Khyber,2017,134786.0,1000,Petrol,Automatic,Hatchback,Faisalabad,938000
